Pipeline,FromActivity,FromSequence,FromParent,ToActivity,ToSequence,ToParent,Conditions,SequenceFlow,SameContainer,FromExecutionStage,ToExecutionStage
pl_NHSC_V_PlantDataForMaterial,Set Delimiter,4,,CD_V_PlantDataForMaterial,1,,Succeeded,4→1,Yes,0,1
pl_NHSC_V_PlantDataForMaterial,Set EscapeCharacter,5,,CD_V_PlantDataForMaterial,1,,Succeeded,5→1,Yes,0,1
pl_NHSC_V_PlantDataForMaterial,CD_V_PlantDataForMaterial,1,,CD_V_PlantDataForMaterial_Synapse,2,,Succeeded,1→2,Yes,1,2
pl_NHSC_V_PlantDataForMaterial,CD_V_PlantDataForMaterial,1,,CD_V_PlantDataForMaterial_Archive,3,,Succeeded,1→3,Yes,1,2
PL_PCard_ColleagueData,GetClientSecret,17,,GetAuthToken,1,,Succeeded,17→1,Yes,0,1
PL_PCard_ColleagueData,LookupFilesToCopy,5,,ForEachFile,6,,Succeeded,5→6,Yes,0,2
PL_PCard_ColleagueData,Month,4,,ForEachFile,6,,Succeeded,4→6,Yes,0,2
PL_PCard_ColleagueData,Year,3,,ForEachFile,6,,Succeeded,3→6,Yes,0,2
PL_PCard_ColleagueData,Time,2,,ForEachFile,6,,Succeeded,2→6,Yes,0,2
PL_PCard_ColleagueData,GetAuthToken,1,,ForEachFile,6,,Succeeded,1→6,Yes,1,2
PL_PCard_ColleagueData,Web_GetFileLUD,7,ForEachFile,Set LUD,8,ForEachFile,Succeeded,7→8,Yes,0,1
PL_PCard_ColleagueData,Lookup_Old_LUD,10,ForEachFile,Set OLD_LUD,9,ForEachFile,Succeeded,10→9,Yes,0,1
PL_PCard_ColleagueData,Set LUD,8,ForEachFile,If File Updated,11,ForEachFile,Succeeded,8→11,Yes,1,2
PL_PCard_ColleagueData,Set OLD_LUD,9,ForEachFile,If File Updated,11,ForEachFile,Succeeded,9→11,Yes,1,2
PL_PCard_ColleagueData,CD_Files,12,If File Updated→TRUE,CD_Archive,13,If File Updated→TRUE,Succeeded,12→13,Yes,0,1
PL_PCard_ColleagueData,CD_Archive,13,If File Updated→TRUE,CD_Update_WaterMark,14,If File Updated→TRUE,Succeeded,13→14,Yes,1,2
PL_PCard_ColleagueData,CD_Files,12,If File Updated→TRUE,df_PCard,15,If File Updated→TRUE,Succeeded,12→15,Yes,0,1
PL_PCard_ColleagueData,df_PCard,15,If File Updated→TRUE,CD_PCard_Synapse,16,If File Updated→TRUE,Succeeded,15→16,Yes,1,2
PL_EDW_SF_0PLANT_MAT_copy,Copy From SF to Public Blob,1,,Copy from ADLS to Synapse,2,,Succeeded,1→2,Yes,0,1
PL_DEV2PROD_COPY,Lookup1,5,,ForEach1,1,,Succeeded,5→1,Yes,0,1
PL_DEV2PROD_COPY,Copy data from Synapse-Dev,2,ForEach1,Copy data to Synapse-Prod,3,ForEach1,Succeeded,2→3,Yes,0,1
PL_DEV2PROD_COPY,Copy data to Synapse-Prod,3,ForEach1,Delete copy_files,4,ForEach1,Succeeded,3→4,Yes,1,2
pl_NHSC_GeneralDatainCustomerMaster,CD_V_GeneralDatainCustomerMaster,1,,CD_V_GeneralDatainCustomerMaster_Synapse,2,,Succeeded,1→2,Yes,0,1
pl_NHSC_GeneralDatainCustomerMaster,CD_V_GeneralDatainCustomerMaster,1,,CD_V_GeneralDatainCustomerMaster_Archive,3,,Succeeded,1→3,Yes,0,1
ADLS_TO_DATAWAREHOUSE,Filter Records Specific to Data WaredHouse Load,4,,Load All the entities mentioned in Control Table to DW,2,,Succeeded,4→2,Yes,1,2
ADLS_TO_DATAWAREHOUSE,Rertrieve Entities from Control Table,1,,Filter Records Specific to Data WaredHouse Load,4,,Succeeded,1→4,Yes,0,1
PL_ColleagueDataSample,GetClientSecret,15,,GetAuthToken,1,,Succeeded,15→1,Yes,0,1
PL_ColleagueDataSample,LookupFilesToCopy,5,,ForEachFile,6,,Succeeded,5→6,Yes,0,2
PL_ColleagueDataSample,Month,4,,ForEachFile,6,,Succeeded,4→6,Yes,0,2
PL_ColleagueDataSample,Year,3,,ForEachFile,6,,Succeeded,3→6,Yes,0,2
PL_ColleagueDataSample,Time,2,,ForEachFile,6,,Succeeded,2→6,Yes,0,2
PL_ColleagueDataSample,GetAuthToken,1,,ForEachFile,6,,Succeeded,1→6,Yes,1,2
PL_ColleagueDataSample,Web_GetFileLUD,7,ForEachFile,Set LUD,8,ForEachFile,Succeeded,7→8,Yes,0,1
PL_ColleagueDataSample,Lookup_Old_LUD,10,ForEachFile,Set OLD_LUD,9,ForEachFile,Succeeded,10→9,Yes,0,1
PL_ColleagueDataSample,Set LUD,8,ForEachFile,If File Updated,11,ForEachFile,Succeeded,8→11,Yes,1,2
PL_ColleagueDataSample,Set OLD_LUD,9,ForEachFile,If File Updated,11,ForEachFile,Succeeded,9→11,Yes,1,2
PL_ColleagueDataSample,CD_Files,12,If File Updated→TRUE,CD_Archive,13,If File Updated→TRUE,Succeeded,12→13,Yes,0,1
PL_ColleagueDataSample,CD_Archive,13,If File Updated→TRUE,CD_Update_WaterMark,14,If File Updated→TRUE,Succeeded,13→14,Yes,1,2
pl_NHSC_V_A004,CD_V_A004,1,,CD_V_A004_Synapse,2,,Succeeded,1→2,Yes,0,1
PL_GET_Nestle_Item_Mapping,Time,18,,ForEachFile,2,,Succeeded,18→2,Yes,0,2
PL_GET_Nestle_Item_Mapping,Year,20,,ForEachFile,2,,Succeeded,20→2,Yes,0,2
PL_GET_Nestle_Item_Mapping,Month,19,,ForEachFile,2,,Succeeded,19→2,Yes,0,2
PL_GET_Nestle_Item_Mapping,LookupFilesToCopy,1,,ForEachFile,2,,Succeeded,1→2,Yes,0,2
PL_GET_Nestle_Item_Mapping,GetAuthToken,22,,ForEachFile,2,,Succeeded,22→2,Yes,1,2
PL_GET_Nestle_Item_Mapping,Web_GetFileLUD,17,ForEachFile,Set LUD,3,ForEachFile,Succeeded,17→3,Yes,0,1
PL_GET_Nestle_Item_Mapping,Set LUD,3,ForEachFile,If File has been Updated,5,ForEachFile,Succeeded,3→5,Yes,1,2
PL_GET_Nestle_Item_Mapping,Set OLD LUD,11,ForEachFile,If File has been Updated,5,ForEachFile,Succeeded,11→5,Yes,1,2
PL_GET_Nestle_Item_Mapping,ControlUpdate0,14,ForEachFile,If File has been Updated,5,ForEachFile,Succeeded,14→5,Yes,0,2
PL_GET_Nestle_Item_Mapping,CD_Files,6,If File has been Updated→TRUE,CD_Archive_Files,7,If File has been Updated→TRUE,Succeeded,6→7,Yes,0,1
PL_GET_Nestle_Item_Mapping,CD_Archive_Files,7,If File has been Updated→TRUE,CD_Update_WaterMark,8,If File has been Updated→TRUE,Succeeded,7→8,Yes,1,2
PL_GET_Nestle_Item_Mapping,Lookup_Old_LUD,4,ForEachFile,Set OLD LUD,11,ForEachFile,Succeeded,4→11,Yes,0,1
PL_GET_Nestle_Item_Mapping,If File has been Updated,5,ForEachFile,If Update Brand,12,ForEachFile,Succeeded,5→12,Yes,2,3
PL_GET_Nestle_Item_Mapping,If File has been Updated,5,ForEachFile,If Orgain Mapping,15,ForEachFile,Succeeded,5→15,Yes,2,3
PL_GET_Nestle_Item_Mapping,GetClientSecret,21,,GetAuthToken,22,,Succeeded,21→22,Yes,0,1
pl_NHSC_CustomerMasterSalesData,CD_V_CustomerMasterSalesData,1,,CD_V_PlantDataForMateria_Synapse,2,,Succeeded,1→2,Yes,0,1
pl_NHSC_CustomerMasterSalesData,CD_V_CustomerMasterSalesData,1,,CD_V_PlantDataForMateria_Archive,3,,Succeeded,1→3,Yes,0,1
pl_NHSC_V_GeneralMaterialData,Set Delimiter,4,,CD_GeneralMaterialData,1,,Succeeded,4→1,Yes,0,1
pl_NHSC_V_GeneralMaterialData,Set EscapeCharacter,5,,CD_GeneralMaterialData,1,,Succeeded,5→1,Yes,0,1
pl_NHSC_V_GeneralMaterialData,CD_V_GeneralMaterialData_Archive,3,,CD_V_GeneralMaterialData_Synapse,2,,Succeeded,3→2,Yes,2,3
pl_NHSC_V_GeneralMaterialData,CD_GeneralMaterialData,1,,CD_V_GeneralMaterialData_Archive,3,,Succeeded,1→3,Yes,1,2
PL_CostReporting_SinktoSynapse,Set path,3,,cd_PYBudget,1,,Succeeded,3→1,Yes,1,2
PL_CostReporting_SinktoSynapse,Set Container,2,,Set path,3,,Succeeded,2→3,Yes,0,1
PL_CostReporting_SinktoSynapse,Set path,3,,cd_CostCenterReportSynapse,4,,Succeeded,3→4,Yes,1,2
PL_CostReporting_SinktoSynapse,Set path,3,,cd_CostCenterList,5,,Succeeded,3→5,Yes,1,2
PL_CostReporting_SinktoSynapse,Set path,3,,cd_CYBudget,6,,Succeeded,3→6,Yes,1,2
PL_CostReporting_SinktoSynapse,Set path,3,,cd_DimExpenseRollUp,7,,Succeeded,3→7,Yes,1,2
PL_CostReporting_SinktoSynapse,Set path,3,,cd_Index,8,,Succeeded,3→8,Yes,1,2
PL_CostReporting_SinktoSynapse,Set path,3,,cd_LE,9,,Succeeded,3→9,Yes,1,2
PL_CostReporting_SinktoSynapse,Set path,3,,cd_FinanceSecurityContext,10,,Succeeded,3→10,Yes,1,2
pl_NHSC_PlantMaterial,LookupNHSCPlants,1,,CD_V_PlantDataForMateria,2,,Succeeded,1→2,Yes,0,1
pl_NHSC_PlantMaterial,CD_V_PlantDataForMateria,2,,CD_V_PlantDataForMateria_Synapse,3,,Succeeded,2→3,Yes,1,2
pl_NHSC_PlantMaterial,CD_V_PlantDataForMateria,2,,CD_V_PlantDataForMateria_Archive,4,,Succeeded,2→4,Yes,1,2
PL_Process_Flash_Report,DF_FLASH_REPORT,1,,LookupDateLoad,2,,Succeeded,1→2,Yes,0,1
PL_Process_Flash_Report,LookupDateLoad,2,,CD_Flash_Report,3,,Succeeded,2→3,Yes,1,2
PL_Process_Flash_Report,LookupDateLoad,2,,CD_Flash_Report_Detail,4,,Succeeded,2→4,Yes,1,2
DELTA_SNOWFLAKE_TO_DW,Rertrieve Entities from Control Table,1,,Filter Records Specific to staging,2,,Succeeded,1→2,Yes,0,1
DELTA_SNOWFLAKE_TO_DW,Filter Records Specific to staging,2,,Refresh All entities maintained in master table,3,,Succeeded,2→3,Yes,1,2
DELTA_SNOWFLAKE_TO_DW,Refresh All entities maintained in master table,3,,Delta ADLS to Data Warehouse,5,,Succeeded,3→5,Yes,2,3
pl_IntegratedOrders,set_inboundpath,4,,GIO Cancled saphana_to_inbound,1,,Succeeded,4→1,Yes,1,2
pl_IntegratedOrders,set_inboundpath,4,,GIO Open saphana_to_inbound,2,,Succeeded,4→2,Yes,1,2
pl_IntegratedOrders,set_inboundpath,4,,GIO Open Delivered Shipped saphana_to_inbound,3,,Succeeded,4→3,Yes,1,2
pl_IntegratedOrders,pl_IntegratedOrders_ext,10,,set_inboundpath,4,,Completed,10→4,Yes,0,1
pl_IntegratedOrders,set_inboundpath,4,,GIO Invoiced saphana_to_inbound,5,,Succeeded,4→5,Yes,1,2
pl_IntegratedOrders,set_inboundpath,4,,GIO Invoiced VP saphana_to_inbound,6,,Succeeded,4→6,Yes,1,2
pl_IntegratedOrders,GIO Invoiced VP saphana_to_inbound,6,,df_IntegratedOrders,7,,Succeeded,6→7,Yes,2,3
pl_IntegratedOrders,GIO Invoiced saphana_to_inbound,5,,df_IntegratedOrders,7,,Succeeded,5→7,Yes,2,3
pl_IntegratedOrders,GIO Open Delivered Shipped saphana_to_inbound,3,,df_IntegratedOrders,7,,Succeeded,3→7,Yes,2,3
pl_IntegratedOrders,GIO Open saphana_to_inbound,2,,df_IntegratedOrders,7,,Succeeded,2→7,Yes,2,3
pl_IntegratedOrders,GIO Cancled saphana_to_inbound,1,,df_IntegratedOrders,7,,Succeeded,1→7,Yes,2,3
pl_IntegratedOrders,pl_IntegratedOrders_US8X,9,,df_IntegratedOrders,7,,Succeeded,9→7,Yes,0,3
pl_IntegratedOrders,df_IntegratedOrders,7,,IntegratedOrders_SCDType2,8,,Succeeded,7→8,Yes,3,4
DELTA_SNOWFLAKE_TO_DW_copy1,Rertrieve Entities from Control Table,1,,Filter Records Specific to staging,2,,Succeeded,1→2,Yes,0,1
DELTA_SNOWFLAKE_TO_DW_copy1,Filter Records Specific to staging,2,,Refresh All entities maintained in master table,3,,Succeeded,2→3,Yes,1,2
DELTA_SNOWFLAKE_TO_DW_copy1,Refresh All entities maintained in master table,3,,Delta ADLS to Data Warehouse,5,,Succeeded,3→5,Yes,2,3
PL_NHSC_Plants,CD_NHSC_PLANTS,1,,CD_MOVE_DATA_NHSC_DL,2,,Succeeded,1→2,Yes,0,1
PL_NHSC_Plants,CD_MOVE_DATA_NHSC_DL,2,,df_NHSC_Plants,4,,Succeeded,2→4,Yes,1,2
PL_NHSC_Plants,CD_PLants,3,,df_NHSC_Plants,4,,Succeeded,3→4,Yes,0,2
PL_BW_YGTGDMC11QB_SALESSUMMARY,Clean Folder,4,,LookupDateRange,1,,Succeeded,4→1,Yes,0,1
PL_BW_YGTGDMC11QB_SALESSUMMARY,LookupDateRange,1,,ForEachDate,2,,Succeeded,1→2,Yes,1,2
PL_BW_YGTGDMC11QB_SALESSUMMARY,ForEachDate,2,,If RunType Includes RegularDates,5,,Succeeded,2→5,Yes,2,3
PL_BW_YGTGDMC11QB_SALESSUMMARY,DF_Nestle_BW,6,If RunType Includes RegularDates→TRUE,Run Script,7,If RunType Includes RegularDates→TRUE,Succeeded,6→7,Yes,0,1
pl_NHSC_Product_Hierarchy,df_Product_Hierarchy,4,,CD_Product_Hierarchy_Archive,2,,Succeeded,4→2,Yes,1,2
pl_NHSC_Product_Hierarchy,CD_Product_Hierarchy_Archive,2,,CD_Product_Hierarchy_Synapse,3,,Skipped,2→3,Yes,2,3
pl_NHSC_Product_Hierarchy,CD_Product_Hierarchy,1,,df_Product_Hierarchy,4,,Succeeded,1→4,Yes,0,1
SNOWFLAKE_TO_DW_PIPELINE,Filter Records Specific to staging,4,,Refresh All entities maintained in master table,2,,Succeeded,4→2,Yes,1,2
SNOWFLAKE_TO_DW_PIPELINE,Rertrieve Entities from Control Table,1,,Filter Records Specific to staging,4,,Succeeded,1→4,Yes,0,1
SNOWFLAKE_TO_DW_PIPELINE,Refresh All entities maintained in master table,2,,Execute ADLS to DW,5,,Succeeded,2→5,Yes,2,3
SNOWFLAKE_TO_DW_PIPELINE_copy1,Filter Records Specific to staging,4,,Refresh All entities maintained in master table,2,,Succeeded,4→2,Yes,1,2
SNOWFLAKE_TO_DW_PIPELINE_copy1,Rertrieve Entities from Control Table,1,,Filter Records Specific to staging,4,,Succeeded,1→4,Yes,0,1
SNOWFLAKE_TO_DW_PIPELINE_copy1,Refresh All entities maintained in master table,2,,Execute ADLS to DW,5,,Succeeded,2→5,Yes,2,3
pl_OrderTrackingFullLoadDW,Get Metadata1,1,,ForEachFile,2,,Succeeded,1→2,Yes,0,1
pl_OrderTrackingFullLoad,Date Range,1,,Get Month list,2,,Succeeded,1→2,Yes,0,1
pl_OrderTrackingFullLoad,Get Month list,2,,ForEachMonthInRange,3,,Succeeded,2→3,Yes,1,2
pl_OrderTrackingFullLoad,Set Container,20,,ForEachMonthInRange,3,,Succeeded,20→3,Yes,0,2
pl_OrderTrackingFullLoad,Set Path,21,,ForEachMonthInRange,3,,Succeeded,21→3,Yes,0,2
pl_OrderTrackingFullLoad,Set ArchiveContainer,22,,ForEachMonthInRange,3,,Succeeded,22→3,Yes,0,2
pl_OrderTrackingFullLoad,Set Year,9,ForEachMonthInRange,OTR_OrderData,4,ForEachMonthInRange,Succeeded,9→4,Yes,3,4
pl_OrderTrackingFullLoad,Set Year,9,ForEachMonthInRange,V_OTR_DeliveryData,5,ForEachMonthInRange,Succeeded,9→5,Yes,3,4
pl_OrderTrackingFullLoad,Set Year,9,ForEachMonthInRange,V_OTR_InvoiceData,6,ForEachMonthInRange,Succeeded,9→6,Yes,3,4
pl_OrderTrackingFullLoad,Set Year,9,ForEachMonthInRange,OTR_OrderOtherData,7,ForEachMonthInRange,Succeeded,9→7,Yes,3,4
pl_OrderTrackingFullLoad,Set Year,9,ForEachMonthInRange,V_OTR_OrderExcepData_1,8,ForEachMonthInRange,Succeeded,9→8,Yes,3,4
pl_OrderTrackingFullLoad,Set Month,12,ForEachMonthInRange,Set Year,9,ForEachMonthInRange,Succeeded,12→9,Yes,2,3
pl_OrderTrackingFullLoad,Set day,13,ForEachMonthInRange,Set Month,12,ForEachMonthInRange,Succeeded,13→12,Yes,1,2
pl_OrderTrackingFullLoad,Set To,11,ForEachMonthInRange,Set day,13,ForEachMonthInRange,Succeeded,11→13,Yes,0,1
pl_OrderTrackingFullLoad,Set From,10,ForEachMonthInRange,Set day,13,ForEachMonthInRange,Succeeded,10→13,Yes,0,1
pl_OrderTrackingFullLoad,OTR_OrderData,4,ForEachMonthInRange,CD_Archive_OTR_OrderData,14,ForEachMonthInRange,Succeeded,4→14,Yes,4,5
pl_OrderTrackingFullLoad,V_OTR_DeliveryData,5,ForEachMonthInRange,CD_Archive_V_OTR_DeliveryData,15,ForEachMonthInRange,Succeeded,5→15,Yes,4,5
pl_OrderTrackingFullLoad,V_OTR_InvoiceData,6,ForEachMonthInRange,CD_Archive_V_OTR_InvoiceData,16,ForEachMonthInRange,Succeeded,6→16,Yes,4,5
pl_OrderTrackingFullLoad,OTR_OrderOtherData,7,ForEachMonthInRange,CD_Archive_V_OTR_OrderOtherData,17,ForEachMonthInRange,Succeeded,7→17,Yes,4,5
pl_OrderTrackingFullLoad,V_OTR_OrderExcepData_1,8,ForEachMonthInRange,CD_Archive_V_OTR_OrderExcepData,18,ForEachMonthInRange,Succeeded,8→18,Yes,4,5
pl_OrderTrackingFullLoad,OTR_OrderData,4,ForEachMonthInRange,df_OrderTracking_FullLoad,19,ForEachMonthInRange,Succeeded,4→19,Yes,4,5
PL_RunOrgain,CD_Archive,2,,DF_Orgain,1,,Succeeded,2→1,Yes,1,2
PL_RunOrgain,Set FileName,4,,CD_Archive,2,,Succeeded,4→2,Yes,0,1
PL_RunOrgain,Set FolderPath,3,,CD_Archive,2,,Succeeded,3→2,Yes,0,1
PL_RunOrgain,DF_Orgain,1,,LookupDateVal,5,,Succeeded,1→5,Yes,2,3
PL_RunOrgain,LookupDateVal,5,,Set Query,6,,Succeeded,5→6,Yes,3,4
PL_RunOrgain,Set MTDVal,9,,DF_ProcessOrgain,7,,Succeeded,9→7,Yes,6,7
PL_RunOrgain,Set Query,6,,LookupMTD,8,,Succeeded,6→8,Yes,4,5
PL_RunOrgain,LookupMTD,8,,Set MTDVal,9,,Succeeded,8→9,Yes,5,6
PL_RunOrgain,DF_ProcessOrgain,7,,DeleteDateInfo,10,,Succeeded,7→10,Yes,7,8
PL_RunOrgain,Set FirstDayOfDate,12,,DF_OrgainDetails,11,,Succeeded,12→11,Yes,4,5
PL_RunOrgain,LookupDateVal,5,,Set FirstDayOfDate,12,,Succeeded,5→12,Yes,3,4
PL_RunOrgain,DF_OrgainDetails,11,,DeleteExcelFile,13,,Succeeded,11→13,Yes,5,6
PL_RunOrgain,BudgetSheetName,14,,DF_OrgainBudget,15,,Succeeded,14→15,Yes,0,5
PL_RunOrgain,Set FirstDayOfDate,12,,DF_OrgainBudget,15,,Succeeded,12→15,Yes,4,5
PL_RunOrgain,DF_OrgainDetails,11,,CD_CombinedItemMaster,16,,Succeeded,11→16,Yes,5,6
PL_RunOrgain,CD_CombinedItemMaster,16,,PL_OnDemand_PBI_Refresh,17,,Succeeded,16→17,Yes,6,7
PL_RunPersona,Lookup_LatestDate,7,,DF_Persona,1,,Succeeded,7→1,Yes,4,5
PL_RunPersona,Set FileName,4,,CD_Archive,2,,Succeeded,4→2,Yes,2,3
PL_RunPersona,Set FolderPath,3,,CD_Archive,2,,Succeeded,3→2,Yes,2,3
PL_RunPersona,DeleteFromSFTP,6,,Set FolderPath,3,,Succeeded,6→3,Yes,1,2
PL_RunPersona,DeleteFromSFTP,6,,Set FileName,4,,Succeeded,6→4,Yes,1,2
PL_RunPersona,CD_FromSDFTP,5,,DeleteFromSFTP,6,,Succeeded,5→6,Yes,0,1
PL_RunPersona,CD_Archive,2,,Lookup_LatestDate,7,,Succeeded,2→7,Yes,3,4
PL_RunPersona,DF_Persona,1,,Check Data Inserted,8,,Succeeded,1→8,Yes,5,6
PL_RunPersona,Set RecordCount,11,,If No Data Inserted Send Notification,9,,Succeeded,11→9,Yes,7,8
PL_RunPersona,Check Data Inserted,8,,Set RecordCount,11,,Succeeded,8→11,Yes,6,7
pl_OrderTrackingIncLoad,Set MaxTime,4,,CD_IncrementalOrderData,2,,Succeeded,4→2,Yes,1,4
pl_OrderTrackingIncLoad,Set ArchiveContainer,7,,CD_IncrementalOrderData,2,,Succeeded,7→2,Yes,3,4
pl_OrderTrackingIncLoad,get_max_order_timestamp,1,,Set MaxTime,4,,Succeeded,1→4,Yes,0,1
pl_OrderTrackingIncLoad,Set CurrentTimeStamp,3,,Set Container,5,,Succeeded,3→5,Yes,0,1
pl_OrderTrackingIncLoad,Set Container,5,,Set Path,6,,Succeeded,5→6,Yes,1,2
pl_OrderTrackingIncLoad,Set Path,6,,Set ArchiveContainer,7,,Succeeded,6→7,Yes,2,3
pl_OrderTrackingIncLoad,CD_IncrementalOrderData,2,,CD_ArchiveOrderData,8,,Succeeded,2→8,Yes,4,5
pl_OrderTrackingIncLoad,CD_ArchiveOrderData,8,,df_OrderTracking_IncrementalLoad,9,,Succeeded,8→9,Yes,5,6
pl_OrderTrackingIncLoad,get_max_delivery_timestamp,10,,Set MaxTime Delivery,11,,Succeeded,10→11,Yes,0,1
pl_OrderTrackingIncLoad,Set MaxTime Delivery,11,,CD_IncrementalDeliveryData,12,,Succeeded,11→12,Yes,1,4
pl_OrderTrackingIncLoad,Set ArchiveContainer,7,,CD_IncrementalDeliveryData,12,,Succeeded,7→12,Yes,3,4
pl_OrderTrackingIncLoad,CD_IncrementalDeliveryData,12,,CD_ArchiveDeliveryData,13,,Succeeded,12→13,Yes,4,5
pl_OrderTrackingIncLoad,CD_ArchiveDeliveryData,13,,df_OTRDeliveryData,14,,Succeeded,13→14,Yes,5,6
pl_OrderTrackingIncLoad,get_max_OrderOtherData,15,,Set MaxTime OrderOtherData,16,,Succeeded,15→16,Yes,0,1
pl_OrderTrackingIncLoad,Set MaxTime OrderOtherData,16,,CD_IncrementalOrderOtherData,17,,Succeeded,16→17,Yes,1,4
pl_OrderTrackingIncLoad,Set ArchiveContainer,7,,CD_IncrementalOrderOtherData,17,,Succeeded,7→17,Yes,3,4
pl_OrderTrackingIncLoad,CD_IncrementalOrderOtherData,17,,CD_ArchiveOrderOtherData,18,,Succeeded,17→18,Yes,4,5
pl_OrderTrackingIncLoad,CD_ArchiveOrderOtherData,18,,df_OTROrderOtherData,19,,Succeeded,18→19,Yes,5,6
pl_OrderTrackingIncLoad,get_max_InvoiceData,20,,Set MaxTime InvoiceData,21,,Succeeded,20→21,Yes,0,1
pl_OrderTrackingIncLoad,Set MaxTime InvoiceData,21,,CD_IncrementalInvoiceData,22,,Succeeded,21→22,Yes,1,4
pl_OrderTrackingIncLoad,Set ArchiveContainer,7,,CD_IncrementalInvoiceData,22,,Succeeded,7→22,Yes,3,4
pl_OrderTrackingIncLoad,CD_IncrementalInvoiceData,22,,CD_ArchiveInvoiceData,23,,Succeeded,22→23,Yes,4,5
pl_OrderTrackingIncLoad,CD_ArchiveInvoiceData,23,,df_OTR_InvoiceData,24,,Succeeded,23→24,Yes,5,6
pl_OrderTrackingIncLoad,get_max_OrderExcepData,25,,Set MaxTime OrderExcepData,26,,Succeeded,25→26,Yes,0,1
pl_OrderTrackingIncLoad,Set MaxTime OrderExcepData,26,,CD_IncrementalOrderExcepData,27,,Succeeded,26→27,Yes,1,4
pl_OrderTrackingIncLoad,Set ArchiveContainer,7,,CD_IncrementalOrderExcepData,27,,Succeeded,7→27,Yes,3,4
pl_OrderTrackingIncLoad,CD_ArchiveOrderExcepData,29,,df_OTR_OrderExcepData,28,,Succeeded,29→28,Yes,5,6
pl_OrderTrackingIncLoad,CD_IncrementalOrderExcepData,27,,CD_ArchiveOrderExcepData,29,,Succeeded,27→29,Yes,4,5
pl_OrderTrackingIncLoad,df_OrderTracking_IncrementalLoad,9,,RemoveDups,30,,Succeeded,9→30,Yes,6,7
PL_CostCenter_Reporting,GetClientSecret,16,,GetAuthToken,1,,Succeeded,16→1,Yes,0,1
PL_CostCenter_Reporting,LookupFilesToCopy,5,,ForEachFile,6,,Succeeded,5→6,Yes,0,2
PL_CostCenter_Reporting,Month,4,,ForEachFile,6,,Succeeded,4→6,Yes,0,2
PL_CostCenter_Reporting,Year,3,,ForEachFile,6,,Succeeded,3→6,Yes,0,2
PL_CostCenter_Reporting,Time,2,,ForEachFile,6,,Succeeded,2→6,Yes,0,2
